Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2004/8/19,100.01,104.06,95.96,100.335,44659000,0,1,50.15983862,52.19110895,48.12856828,50.32284179,44659000
2004/8/20,101.01,109.08,100.5,108.31,22834300,0,1,50.66138685,54.70888107,50.40559725,54.32268894,22834300
2004/8/23,110.76,113.48,109.05,109.4,18256100,0,1,55.5514821,56.91569329,54.69383463,54.86937651,18256100
2004/8/24,111.24,111.6,103.57,104.87,15247300,0,1,55.79222525,55.97278262,51.94535032,52.59736302,15247300
2004/8/25,104.76,108,103.88,106,9188600,0,1,52.54219272,54.16720898,52.10083027,53.16411252,9188600
2004/8/26,104.95,107.95,104.66,107.91,7094800,0,1,52.63748688,54.14213157,52.49203789,54.12206964,7094800
2004/8/27,108.1,108.62,105.69,106.15,6211700,0,1,54.21736381,54.47816889,53.00863257,53.23934476,6211700
2004/8/30,105.28,105.49,102.01,102.01,5196700,0,1,52.8029978,52.90832292,51.16293508,51.16293508,5196700
2004/8/31,102.32,103.71,102.16,102.37,4917800,0,1,51.31841503,52.01556707,51.23816731,51.34349244,4917800
2004/9/1,102.7,102.97,99.67,100.25,9138200,0,1,51.50900336,51.64442138,49.98931222,50.28021019,9138200
2004/9/2,99.09,102.37,98.94,101.51,15118600,0,1,49.69841424,51.34349244,49.62318201,50.91216096,15118600
2004/9/3,100.95,101.74,99.32,100.01,5152400,0,1,50.63129395,51.02751706,49.81377034,50.15983862,5152400
2004/9/7,101.01,102,99.61,101.58,5847500,0,1,50.66138685,51.1579196,49.95921932,50.94726934,5847500
2004/9/8,100.74,103.03,100.5,102.3,4985600,0,1,50.52596883,51.67451428,50.40559725,51.30838407,4985600
2004/9/9,102.5,102.71,101,102.31,4061700,0,1,51.40869371,51.51401884,50.65637137,51.31339955,4061700
2004/9/10,101.47,106.56,101.3,105.33,8698800,0,1,50.89209903,53.44497953,50.80683583,52.82807521,8698800
2004/9/13,106.63,108.41,106.46,107.5,7844100,0,1,53.48008791,54.37284376,53.39482471,53.91643487,7844100
2004/9/14,107.44,112,106.79,111.49,10828900,0,1,53.88634198,56.17340191,53.56033563,55.91761231,10828900
2004/9/15,110.56,114.23,110.2,112,10713000,0,1,55.45117246,57.29185447,55.27061509,56.17340191,10713000
2004/9/16,112.34,115.8,111.65,113.97,9266300,0,1,56.34392831,58.07928519,55.99786003,57.16145193,9266300
2004/9/17,114.42,117.49,113.55,117.49,9472500,0,1,57.38714863,58.9269017,56.95080167,58.9269017,9472500
2004/9/20,116.95,121.6,116.77,119.36,10628700,0,1,58.65606566,60.98826493,58.56578697,59.86479689,10628700
2004/9/21,120.2,120.42,117.51,117.84,7228700,0,1,60.28609741,60.39643802,58.93693267,59.10244358,7228700
2004/9/22,117.45,119.67,116.81,118.38,7581200,0,1,58.90683977,60.02027684,58.5858489,59.37327963,7581200
2004/9/23,118.84,122.63,117.02,120.82,8535600,0,1,59.60399181,61.50485961,58.69117403,60.59705731,8535600
2004/9/24,120.97,124.1,119.76,119.83,9123400,0,1,60.67228955,62.24213551,60.06541619,60.10052456,9123400
2004/9/27,119.56,120.88,117.8,118.26,7066100,0,1,59.96510654,60.6271502,59.08238165,59.31309384,7066100
2004/9/28,121.15,127.4,120.21,126.86,16929000,0,1,60.76256823,63.89724467,60.29111289,63.62640863,16929000
2004/9/29,126.53,135.02,126.23,131.08,30516400,0,1,63.46089771,67.7190422,63.31043324,65.74294216,30516400
2004/9/30,129.899,132.3,129,129.6,13758000,0,1,65.1506137,66.35483101,64.69972184,65.00065078,13758000
2004/10/1,130.8,134.24,128.9,132.58,15124800,0,1,65.60250866,67.32783458,64.64956702,66.49526451,15124800
2004/10/4,135.275,136.87,134.03,135.06,13022700,0,1,67.84693699,68.64690642,67.22250945,67.73910413,13022700
2004/10/5,134.66,138.53,132.24,138.37,14973200,0,1,67.53848483,69.47947649,66.32473811,69.39922877,14973200
2004/10/6,137.67,138.45,136,137.08,13381400,0,1,69.04814501,69.43935263,68.21055946,68.75223155,13381400
2004/10/7,136.56,139.88,136.55,138.85,14115000,0,1,68.49142647,70.1565666,68.48641099,69.63997192,14115000
2004/10/8,138.73,139.68,137.02,137.73,11069500,0,1,69.57978613,70.05625695,68.72213866,69.0782379,11069500
2004/10/11,137.01,138.86,133.85,135.26,10472100,0,1,68.71712318,69.6449874,67.13223077,67.83941377,10472100
2004/10/12,134.49,137.61,133.4,137.4,11665500,0,1,67.45322163,69.01805212,66.90653406,68.91272699,11665500
2004/10/13,143.24,143.55,140.08,140.9,19766200,0,1,71.84176866,71.99724861,70.25687625,70.6681458,19766200
2004/10/14,141.02,142.38,138.56,142,10442100,0,1,70.72833158,71.41043718,69.49452293,71.21984885,10442100
2004/10/15,144.95,145.5,141.95,144.11,13194700,0,1,72.69941613,72.97526766,71.19477144,72.27811562,13194700
2004/10/18,143.12,149.2,141.21,149.16,14036300,0,1,71.78158287,74.83099612,70.82362575,74.81093419,14036300
2004/10/19,150.5,152.4,147.35,147.94,18109800,0,1,75.48300882,76.43595046,73.90313189,74.19904534,18109800
2004/10/20,147.94,148.99,139.6,140.49,22722600,0,1,74.19904534,74.72567099,70.0161331,70.46251102,22722600
2004/10/21,144.13,150.13,141.62,149.38,29149800,0,1,72.28814658,75.29743597,71.02926052,74.9212748,29149800
2004/10/22,170.435,180.17,164.08,172.43,73710000,0,1,85.48137281,90.36394484,82.2940338,86.48196153,73710000
2004/10/25,176.28,194.43,172.55,187.4,65462800,0,1,88.41292222,97.51602262,86.54214732,93.99013855,65462800
2004/10/26,186.449,192.64,180,181.8,44569500,0,1,93.51316619,96.61825129,90.27868164,91.18146846,44569500
2004/10/27,182.509,189.52,181.77,185.97,26686200,0,1,91.53706615,95.0534208,91.16642201,93.27292458,26686200
2004/10/28,186.63,194.39,185.6,193.3,29663900,0,1,93.60394642,97.49596069,93.08735174,96.94927312,29663900
2004/10/29,198.87,199.95,190.6,190.64,42282600,0,1,99.74289677,100.2845689,95.59509289,95.61515482,42282600
2004/11/1,193.5,197.67,191.27,196.03,24425300,0,1,97.04958276,99.14103889,95.93113021,98.31849979,24425300
2004/11/2,198.73,199.25,193.34,194.87,22669900,0,1,99.67268001,99.93348509,96.96933505,97.73670384,22669900
2004/11/3,198.19,201.6,190.75,191.67,27749600,0,1,99.40184397,101.1121234,95.67032513,96.1317495,27749600
2004/11/4,188.25,190.4,183.35,184.7,28790300,0,1,94.41645455,95.49478325,91.95886822,92.63595833,28790300
2004/11/5,182,182.3,168.55,169.35,39626500,0,1,91.2817781,91.43224257,84.53595439,84.93719298,39626500
2004/11/8,170.86,175.44,169.4,172.55,22361200,0,1,85.69453081,87.99162171,84.96227039,86.54214732,22361200
2004/11/9,174.1,175.2,165.27,168.7,22106200,0,1,87.31954708,87.87125013,82.89087619,84.61118663,22106200
2004/11/10,170.67,172.52,166.33,167.86,21266700,0,1,85.59923664,86.52710087,83.42251732,84.18988611,21266700
2004/11/11,169.32,183.75,167.57,183.02,29941000,0,1,84.92214653,92.15948751,84.04443713,91.7933573,29941000
2004/11/12,185.23,189.8,177.4,182,33458700,0,1,92.90177889,95.19385431,88.97465624,91.2817781,33458700
2004/11/15,180.45,188.32,178.75,184.87,23779100,0,1,90.50437835,94.45156293,89.65174635,92.72122153,23779100
2004/11/16,174.39,179.47,170.83,172.545,41792900,0,1,87.46499606,90.01286108,85.67948436,86.53963958,41792900
2004/11/17,169.02,177.5,169,172.5,36229500,0,1,84.77168206,89.02481106,84.7616511,86.51706991,36229500
2004/11/18,170.4,174.42,165.73,167.54,33225900,0,1,85.46381862,87.48004251,83.12158838,84.02939068,33225900
2004/11/19,169.06,169.98,166.52,169.4,17521000,0,1,84.79174399,85.25316836,83.51781148,84.96227039,17521000
2004/11/22,168.6,169.5,161.31,165.1,24711600,0,1,84.5610318,85.01242521,80.9047452,82.80561299,24711600
